Pb,Cd,Fe,Mn,Mg,Ni,Zn,Be,Ca,Cu,pm10
0,0,560.7484407,16.83160083,598.5072765,15.07692308,74.37837838,0.363409563,2438.178794,9.762993763,21.20582121
0,0,1868.483871,128.0645161,751.8830645,21.51612903,314.3951613,0,3839.975806,7.415322581,20.16129032
0,0,2487.942974,3.535641548,441.1323829,13.12830957,50.87169043,0.053767821,1897.124236,0,36.6598778
0,0,1887.803758,181.9415449,726.2254697,15.51148225,302.2338205,0.680584551,3098.734864,4.668058455,16.70146138
0,0,0,0,0,6.05,0,0.33,0,0,29.16666667
366.7678625,10.67194583,103.5377208,6.247775,118.4875542,21.8813,233.9867083,3.348704167,1804.465783,16.37532917,41.66666667
154.1029419,0,138.525029,0.714639004,50.61185062,4.473767635,565.6184896,0,1203.176278,1.185643154,20.74688797
311.6538263,11.63153131,60.76691717,0,61.28978586,3.684876768,28.87132525,0,185.6968162,9.010747475,32.32323232
182.7080248,0.569171843,113.3469814,0.612070393,130.7069648,9.415461698,110.2723354,0,1574.918919,9.995482402,34.36853002
307.0186898,6.492942857,110.2319265,0.431746939,111.9661061,18.76349796,139.2984408,0.964559184,906.9504286,16.98389796,24.48979592
93.36862786,6.933704782,103.6704449,0.51816632,135.6650395,4.931904366,141.5978669,0,1462.552902,1.450968815,20.79002079
161.4470792,1.059154167,57.38171667,0.844095833,91.49945833,0.58935,42.77389167,0,706.9717083,0.593508333,16.66666667
30.92934304,6.454158004,77.50446154,1.228212058,217.377052,6.274112266,46.1436341,0,4582.194861,0.933330561,20.79002079
210.0329833,4.562908333,0,1.297204167,21.29824167,8.562633333,34.40185,0,748.2798375,7.507741667,25
176.5830792,0.6727,43.210375,0.952175,68.2473375,4.0192,1.504154167,0.4661125,356.64775,4.580779167,79.16666667
286.0755583,9.87555,149.2705542,0.287083333,90.50196667,10.60175833,276.5983042,0.7953625,1251.753429,58.34592083,25
0,0,107.6622875,3.436025,133.3458917,6.718970833,146.2906833,2.4028625,718.5366708,8.309895833,45.83333333
216.166425,4.798066667,192.4865958,0,42.10770833,2.599541667,116.7780375,0.596308333,582.4850458,4.234675,29.16666667
70.13575833,3.549166667,141.2757333,0,106.5047583,3.055995833,142.3237458,0,612.8579083,6.298220833,29.16666667
0,13.84060291,201.6051892,1.196918919,105.7889522,4.295733888,299.9576216,0.088981289,984.2269356,15.3835052,45.73804574
14.82965,14.94394167,205.322675,7.317991667,347.473225,6.507733333,98.49448333,0,1922.144746,1.773625,112.5
0,2.371622407,170.0094149,7.748618257,769.9594025,4.581975104,334.8444564,1.051261411,3572.608373,4.089174274,41.49377593
131.8476398,0,105.1369648,5.584144928,177.8247743,1.817643892,79.79418634,0.729097308,1469.740737,9.861726708,20.70393375
228.3234,31.03460833,150.8210667,7.142633333,264.5286333,3.538270833,206.2022958,0,3211.517983,6.423308333,79.16666667
356.9486479,14.56720724,336.2795252,7.74793159,451.6963903,2.598539235,269.0199195,0.475682093,3514.74705,3.959279678,58.3501006
192.4622245,25.5488815,583.1954179,17.20449896,753.5249231,753.5249231,871.7251102,0.483205821,4616.984017,22.34524324,63.75592516
379.986675,18.0476875,172.3730083,11.76643333,173.0842042,2.945079167,438.5768875,0,2526.198538,17.46863333,27.08333333
267.5221292,9.032891667,246.0259958,11.73792083,203.6755667,3.758945833,304.4117458,0,1976.373983,2.481866667,35.41666667
381.1010559,16.37446377,99.22034369,10.60635611,264.25906,3.233287785,355.2703892,0,2490.300679,2.730198758,26.91511387
324.332425,13.62212083,72.3615625,9.858229167,176.0627375,2.6042125,346.4178083,0.698495833,1585.838138,4.162204167,21.52777778
393.1224708,17.17122083,65.18957917,9.869629167,301.9690125,6.614754167,456.654125,0.489616667,1757.112096,0.5890875,44.44430556
239.1263884,4.930157025,82.38520661,12.90946694,277.3115496,7.978599174,483.9959835,1.458665289,2351.740496,2.481553719,48.20922865
314.1749834,11.06852282,69.94525726,9.441576763,287.0931328,5.280261411,366.5305851,0,1052.88229,5.393141079,19.36348548
292.1934351,10.45978969,85.46552577,10.20738144,297.965101,2.893373196,330.9657856,0,2195.083546,5.081162887,46.04783505
0,0,132.2946058,1.912863071,0,19.3526971,153.7136929,0,120.7676349,15.05809129,96.8186722
0,0,141.8486056,3.135458167,1025.876494,13.50199203,84.70119522,0,922.4581673,7.039840637,30.67729084
0,0,139.6441718,3.950920245,2932.466258,9.423312883,425.5869121,0,1550.396728,25.00204499,32.7198364
0,0,139.5752577,2.296907216,8858.185567,8.371134021,195.5010309,0,2986.024742,135.7979381,57.04453608
0,0,128.630303,3.6,1352.820202,21.09494949,351.6,0,1479.6,148,53.19878788
0,0.605316973,154.7525562,4.519427403,0,15.55419223,486.1186094,0,603.1697342,23.55010225,42.26339468
162.9588477,14.12345679,120.600823,1.823045267,3988.119342,17.30452675,199.7119342,0,1933.176955,353.8477366,28.80658436
0,0,247.1521298,2.251521298,57.168357,8.14198783,204.6450304,0,462.0892495,233.3711968,43.27221095
11.79209979,1.451143451,156.972973,4.798336798,181.6216216,4.644490644,413.022869,0,1482.203742,25.78378378,58.21205821
0,0,114.85,1.575,1458.3875,26.27083333,157.5625,0,572.2166667,61.49583333,36.11125
0,0,208.0666667,4.840740741,0,6.22962963,265.9925926,0,227.0740741,11.56666667,85.80259259
0,0,104.6182573,1.510373444,0,8.410788382,204.7676349,0,191.1286307,138.0414938,33.19502075
0,0,151.1708333,2.8875,0,4.858333333,304.7166667,0,233.5916667,100.8375,59.72208333
0,0,170.7642276,3.638211382,0,13.87804878,107.5121951,0,488.8333333,146.1382114,46.74796748
0,0,137.6016598,2.55186722,380.0456432,6.141078838,340.8879668,0,505.4273859,30.13278008,69.15643154
0,0,131.2909441,1.938342967,365.6570328,13.3371869,133.4489403,0,390.5009634,22.92485549,39.82003854
0,0,162.6070686,2.765072765,2282.615385,11.28482328,154.04158,0,1058.357588,31.24324324,62.36992377
0,0,112.4574899,1.109311741,1066.376518,10.78947368,354.4331984,0,439.8785425,11.53441296,52.09190283
0,0,150.6320166,2.632016632,5859.114345,14.31600832,127.1060291,0,2322.972973,97.35135135,28.41288981
0,0,122.2815735,1.871635611,3109.693582,13.19254658,84.44306418,0,1230.857143,441.1925466,26.22512077
0,0,115.770751,2.442687747,1025.233202,13.01976285,253.9367589,0,1423.869565,39.77470356,31.62055336
0,0,173.5866142,3.543307087,980.3307087,7.161417323,101.6732283,0,510.2519685,39.03543307,31.3648294
0,0,155.0728745,2.63562753,3491.360324,16.88259109,214.2186235,0,1499.975709,52.68421053,28.34008097
0,2.432637571,146.9411765,2.956356736,1819.468691,16.22011385,427.6774194,0,1192.216319,16.74003795,49.33586338
0,0,185.5934292,4.628336756,76.12320329,12.03696099,170.7186858,0,796.4394251,371.6057495,61.60164271
69.5,11.59920635,143.6468254,2.765873016,1429.492063,20.50793651,190.9166667,0,1780.793651,56.82142857,27.77777778
0,0,144.6998088,3.124282983,4504.279159,13.89674952,376.1720841,0,1855.900574,57.22753346,49.71319312
0,0,126.3700624,2.523908524,2657.176715,8.228690229,172.4656965,0,1524.162162,17.72972973,87.31808732
0,0,147.322314,2.640495868,1805.690083,14.37190083,133.9297521,0,1013.466942,16.3677686,20.66115702
0,0,189.223382,4.446764092,3488,21.62839248,307.0647182,0,1577.08142,72.86012526,4.175365344
0,0,113.7905544,1.94661191,0,18.1724846,105.3100616,0,0,5.938398357,32.85420945
0,0,128.8397566,2.393509128,1520.41785,19.50507099,210.9452333,0,935.0344828,32.90872211,36.51115619
303.6143141,25.31610338,118.5606362,2.477137177,0,14.73558648,439.1769384,0,145.1769384,63.1610338,11.92842942
0,0,163.9798793,3.384305835,2159.046278,17.03018109,227.9637827,0,1721.561368,339.7183099,20.12072435
0,0,167.1547619,3.98015873,0,11.21428571,331.1865079,0,469.6507937,113.8968254,35.71428571
77.01431493,10.97341513,119.9427403,2.302658487,56.24948875,19.73415133,176.6789366,0,215.0224949,21.05521472,32.7198364
0,0,126.1513944,2.266932271,1751.593625,10.62549801,134.6733068,0,824.8486056,70.52191235,55.77689243
0,0,115.7375,1.808333333,173.0458333,12.86666667,117.6083333,0,150.7375,70.49166667,20.83333333
0,0,150.4333333,3.691666667,0,10.85,347.55,0,759.1125,14.70833333,29.16666667
0,0,107.0666667,1.791666667,0,7.5,104.5583333,0,75.99583333,8.354166667,16.66666667
0,0,129.275,2.520833333,0,18.72916667,286.225,0,126.8041667,10.00833333,25
0,0,133.7791667,3.0125,0,13.42083333,478.4875,0,243.0166667,10.17083333,33.33333333
0,0,173.2365145,2.663900415,0,15.49377593,177.7925311,0,63.58921162,20.13692946,8.298755187
0,0,159.8916667,3.308333333,360.1333333,19.42916667,198.3666667,0,936.2708333,23.22083333,8.333333333